"dataset","method","case_id","service","fault","repeat_no","n_train","n_cal","n_ab","alarm_fraction","detected","auc"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_1","checkoutservice","mem","1",180,120,300,0.003,FALSE,0.668
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_1","checkoutservice","mem","1",180,120,300,0.98,TRUE,0.988
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_2","checkoutservice","mem","2",180,120,300,0.963,TRUE,0.98
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_2","checkoutservice","mem","2",180,120,300,0.183,TRUE,0.916
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_2","checkoutservice","mem","2",180,120,300,0.963,TRUE,0.989
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_3","checkoutservice","mem","3",180,120,300,1,TRUE,1
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_3","checkoutservice","mem","3",180,120,300,0.48,TRUE,0.934
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_3","checkoutservice","mem","3",180,120,300,1,TRUE,1
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_4","checkoutservice","mem","4",180,120,300,0.987,TRUE,0.997
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_4","checkoutservice","mem","4",180,120,300,0.19,TRUE,0.899
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_4","checkoutservice","mem","4",180,120,300,0,FALSE,0.952
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_5","checkoutservice","mem","5",180,120,300,0.3,TRUE,0.644
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_5","checkoutservice","mem","5",180,120,300,0.687,TRUE,0.953
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_5","checkoutservice","mem","5",180,120,300,0,FALSE,0.684
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_1","currencyservice","cpu","1",180,120,300,0.037,FALSE,0.639
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_1","currencyservice","cpu","1",180,120,300,0.03,FALSE,0.709
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_1","currencyservice","cpu","1",180,120,300,0,FALSE,0.712
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_2","currencyservice","cpu","2",180,120,300,0.927,TRUE,0.992
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_2","currencyservice","cpu","2",180,120,300,0.013,FALSE,0.717
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_2","currencyservice","cpu","2",180,120,300,0.897,TRUE,0.991
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_3","currencyservice","cpu","3",180,120,300,0.163,TRUE,0.887
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_3","currencyservice","cpu","3",180,120,300,0.153,TRUE,0.877
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_3","currencyservice","cpu","3",180,120,300,0,FALSE,0.915
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_4","currencyservice","cpu","4",180,120,300,0.893,TRUE,0.937
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_4","currencyservice","cpu","4",180,120,300,0.02,FALSE,0.289
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_4","currencyservice","cpu","4",180,120,300,0,FALSE,0.753
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_5","currencyservice","cpu","5",180,120,300,0.893,TRUE,0.987
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_5","currencyservice","cpu","5",180,120,300,0.043,FALSE,0.569
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_5","currencyservice","cpu","5",180,120,300,0.82,TRUE,0.972
"RE1-OB","PCA","RE1-OB_currencyservice_delay_1","currencyservice","delay","1",180,120,300,0.95,TRUE,0.961
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_1","currencyservice","delay","1",180,120,300,0.56,TRUE,0.928
